group,,rank,prev_rank,name,league,off,def,spi,group,rank_group_avg,prev_rank_group_avg,off_group_avg,def_group_avg,spi_group_avg,diff
A,12,233,233,Philadelphia Union,Major League Soccer,1.51,1.51,46.0,A,311.1666666666667,310.8333333333333,1.2883333333333333,1.5583333333333333,39.815000000000005,6.184999999999995
A,13,244,243,New York City FC,Major League Soccer,1.42,1.46,44.86,A,311.1666666666667,310.8333333333333,1.2883333333333333,1.5583333333333333,39.815000000000005,5.044999999999995
B,18,252,254,Seattle Sounders FC,Major League Soccer,1.42,1.51,44.11,B,350.0,351.5,1.27,1.7000000000000002,36.8175,7.292499999999997
B,19,297,297,FC Dallas,Major League Soccer,1.36,1.6,40.7,B,350.0,351.5,1.27,1.7000000000000002,36.8175,3.8825000000000003
C,4,227,227,Toronto FC,Major League Soccer,1.5,1.47,46.71,C,343.25,343.0,1.2775,1.665,37.53,9.18
C,5,343,344,New England Revolution,Major League Soccer,1.36,1.74,37.85,C,343.25,343.0,1.2775,1.665,37.53,0.3200000000000003
D,22,283,282,Minnesota United FC,Major League Soccer,1.4,1.58,41.98,D,323.25,324.25,1.2874999999999999,1.5925,39.1425,2.8374999999999986
D,23,321,321,Sporting Kansas City,Major League Soccer,1.4,1.73,39.15,D,323.25,324.25,1.2874999999999999,1.5925,39.1425,0.007500000000000284
E,8,229,230,Atlanta United FC,Major League Soccer,1.41,1.38,46.35,E,347.75,348.0,1.2149999999999999,1.6275,37.0425,9.307500000000005
E,9,319,319,New York Red Bulls,Major League Soccer,1.39,1.71,39.26,E,347.75,348.0,1.2149999999999999,1.6275,37.0425,2.217500000000001
F,0,136,137,Los Angeles FC,Major League Soccer,1.98,1.46,57.05,F,286.5,287.75,1.5525,1.7125,42.64,14.409999999999997
F,1,280,279,Los Angeles Galaxy,Major League Soccer,1.69,1.9,42.1,F,286.5,287.75,1.5525,1.7125,42.64,-0.5399999999999991
A,14,251,252,Inter Miami CF,Major League Soccer,1.35,1.42,44.25,A,311.1666666666667,310.8333333333333,1.2883333333333333,1.5583333333333333,39.815000000000005,4.434999999999995
A,15,279,278,Chicago Fire,Major League Soccer,1.42,1.6,42.14,A,311.1666666666667,310.8333333333333,1.2883333333333333,1.5583333333333333,39.815000000000005,2.3249999999999957
E,10,326,326,Columbus Crew,Major League Soccer,1.14,1.43,38.75,E,347.75,348.0,1.2149999999999999,1.6275,37.0425,1.7075000000000031
B,20,348,352,San Jose Earthquakes,Major League Soccer,1.38,1.79,37.45,B,350.0,351.5,1.27,1.7000000000000002,36.8175,0.6325000000000003
